"","TYPEOFTREE","SPECIESTYPE","SPECIES","AGE","DESCRIPTION","TREESURROUND","VIGOUR","CONDITION","DIAMETERinCENTIMETRES","SPREADRADIUSinMETRES","TREELOCATIONX","TREELOCATIONY","LONGITUDE","LATITUDE","TREETAG","TREEHEIGHTinMETRES"
"30082","StreetTree","Birch","Betula jacquemontii","Semi-Mature","Semi Mature","Tarmac","Low","Poor",23,3,333485.87,370991.17,-5.936849,54.569583,"",12
"30085","StreetTree","Lime","Tilla cordata 'Green Spire'","Semi-Mature","Semi Mature","Tarmac","Low","Poor",23,3,334704.11,371752.37,-5.917678,54.576094,"",8
"30086","StreetTree","Lime","Tilla cordata 'Green Spire'","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",23,3,334720.4,371716.37,-5.917443,54.575767,"",10
"30089","StreetTree","Rowan","Sorbus aria","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",29,3,331817.61,370082.79,-5.963032,54.561865,"",9
"30104","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",68,7,334817.98,370828.43,-5.916342,54.56777,"",22
"30106","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",60,5,334795.64,370821.41,-5.91669,54.567713,"",22
"30122","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",50,7,333581.87,372098.39,-5.934863,54.579498,"",17
"30127","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",63,6,331544.96,373097.68,-5.965896,54.589002,"",16
"30152","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",63,4,334921.35,371063.57,-5.914637,54.569853,"",24
"30190","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",58,6,333163.34,370846.37,-5.941898,54.568368,"",18
"30229","StreetTree","Cherry","Prunus (type)","Mature","Mature","Tarmac","Low","Poor",34,7,333048.38,370899.36,-5.94365,54.568874,"",9
"30234","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",62,6,332319.96,370711.43,-5.954989,54.567378,"",19
"30241","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",59,5,334311.89,372294.65,-5.923492,54.581067,"",13
"30250","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",48,5,331693.5,370117.44,-5.964934,54.562209,"",14
"30261","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",49,6,334730.96,372170.63,-5.917072,54.579842,"",13
"30266","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",63,7,332054.16,370868.67,-5.959025,54.568859,"",18
"30267","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",64,6,332125.79,370837.91,-5.957932,54.568564,"",18
"30297","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",65,5,333332.8,371801.01,-5.938847,54.576894,"",16
