"","TYPEOFTREE","SPECIESTYPE","SPECIES","AGE","DESCRIPTION","TREESURROUND","VIGOUR","CONDITION","DIAMETERinCENTIMETRES","SPREADRADIUSinMETRES","TREELOCATIONX","TREELOCATIONY","LONGITUDE","LATITUDE","TREETAG","TREEHEIGHTinMETRES"
"1","ParkTree","Cherry","Prunus cerasifera 'Nigra'","Young Mature","Semi-Mature","Shrubs","Low","Poor",70,5,330667.06,367682.71,-5.98187,54.540617,"292",8
"5","ParkTree","Pine","Pinus nigra","Young Mature","Semi-Mature","Grass","Normal","Poor",47,7,332251.15,371468.65,-5.955712,54.574194,"115",13
"7","ParkTree","Sweet Chestnut","Castanea sativa","Mature","Mature","Woodland","Normal","Poor",90,7,336866.43,373059.67,-5.883656,54.58725,"194",16
"9","StreetTree","Pear","Pyrus calleryana 'Chanticleer'","Juvenile","Heavy Standard","Tarmac","Low","Poor",7,1,331649.26,375492.53,-5.96321,54.610474,"0",0
"15","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Grass","Low","Poor",130,1,331882.27,369218.98,-5.96242,54.554094,"1",11
"16","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",68,5,330101.97,368141.54,-5.990393,54.544881,"2578",26
"26","ParkTree","Cypress","Cupressocyparis leylandii","Mature","Mature","Bramble/Briars","Low","Poor",92,6,333223.75,379592.65,-5.936996,54.64687,"730",27
"31","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Grass","Low","Poor",140,13,334618.14,372447.22,-5.918689,54.582355,"571",22
"48","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Grass","Low","Poor",53,7,330478.03,376853.78,-5.98072,54.622998,"179",16
"53","StreetTree","Not Known","Not known","Young","Juvenile/Young","Grass","Normal","Poor",34,8,336111.28,373784.53,-5.894993,54.593961,"",9
"57","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Grass","Low","Poor",41,5,330577.22,376920.72,-5.979156,54.623574,"22",16
"65","ParkTree","Alder","Alnus glutinosa","Young Mature","Semi-Mature","Woodland","Low","Poor",38,3,330469.31,367823.32,-5.984861,54.54193,"1390",21
"67","ParkTree","Alder","Alnus glutinosa","Young Mature","Semi-Mature","Woodland","Low","Poor",41,5,330503.8,367850.62,-5.984317,54.542166,"1347",16
"72","ParkTree","Holly","Ilex aquifolium","Mature","Mature","Bare Ground","Low","Poor",82,4,330578.75,367702.24,-5.983225,54.540815,"1455",11
"78","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",47,8,330757.26,368142.75,-5.980273,54.544723,"925",14
"79","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",81,10,330889.24,368088.81,-5.978259,54.544205,"843",26
"81","ParkTree","Juniper","Juniperus communis","Young Mature","Semi-Mature","Shrubs","Low","Poor",55,4,330637.37,367546.22,-5.982389,54.539399,"1816",11
"82","ParkTree","Ash","Fraxinus excelsior","Mature","Mature","Woodland","Low","Poor",87,7,330587.93,367992.82,-5.982955,54.543421,"1062",25
"83","ParkTree","Maple","Acer pseudoplatanus","Fully Mature","Fully Mature","Woodland","Low","Poor",111,15,330438.93,367647.32,-5.985408,54.540358,"1557",27
"88","ParkTree","Alder","Alnus glutinosa","Young","Juvenile/Young","Grass","Low","Poor",24,3,330278.51,367735.25,-5.987846,54.541188,"1622",17
"92","ParkTree","Maple","Acer pseudoplatanus","Fully Mature","Fully Mature","Woodland","Low","Poor",98,12,330536.78,367316.58,-5.984044,54.537363,"77",26
"93","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Shrubs","Low","Poor",60,8,330686,367696.26,-5.981572,54.540733,"275",18
"98","ParkTree","Chestnut","Aesculus hippocastanum","Mature","Mature","Shrubs","Low","Poor",87,16,330574.61,367738.58,-5.983273,54.541142,"1436",14
"99","ParkTree","Holly","Ilex aquifolium","Young","Juvenile/Young","Bare Ground","Low","Poor",30,5,330582.57,367718.93,-5.983159,54.540964,"1443",14
"114","ParkTree","Chestnut","Aesculus hippocastanum","Fully Mature","Fully Mature","Grass","Low","Poor",107,7,330991.34,375389.62,-5.973432,54.609721,"11",17
"115","ParkTree","Pine","Pinus sylvestris","Young","Juvenile/Young","Grass","Low","Poor",33,5,330976.34,375391.79,-5.973663,54.609745,"24",8
"116","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",37,6,330669.54,368107.94,-5.981643,54.544433,"961",11
"128","ParkTree","Cherry","Prunus 'Amanogawa'","Young","Juvenile/Young","Shrubs","Low","Poor",27,4,336464.63,374258.26,-5.88931,54.598118,"109",12
"132","ParkTree","Maple","Acer pseudoplatanus","Mature","Mature","Woodland","Low","Poor",87,6,330061.13,377603.48,-5.986838,54.629836,"113",25
"133","ParkTree","Chestnut","Aesculus hippocastanum","Mature","Mature","Grass","Low","Poor",93,4,330042.97,377599.61,-5.98712,54.629806,"115",11
"134","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Bare Ground","Low","Poor",94,8,330161.7,377615.19,-5.985276,54.629915,"103",29
"141","ParkTree","Beech","Fagus sylvatica","Young","Juvenile/Young","Grass","Low","Poor",34,5,330774.97,375615.62,-5.976678,54.611806,"262",15
"144","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",64,6,329969.59,368167.05,-5.992426,54.545144,"2934",26
"145","ParkTree","Sweet Chestnut","Castanea sativa","Young Mature","Semi-Mature","Woodland","Low","Poor",55,7,330283.48,367974.55,-5.987664,54.543335,"2454",11
"148","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",46,6,330361.33,367554.43,-5.986647,54.539544,"1958",22
"153","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Woodland","Low","Poor",57,5,330262.81,377690.87,-5.983678,54.630569,"97",18
"154","ParkTree","Ash","Fraxinus excelsior","Mature","Mature","Woodland","Low","Poor",73,7,330263.45,377704.74,-5.983662,54.630693,"98",27
"155","ParkTree","Beech","Fagus sylvatica","Young","Juvenile/Young","Grass","Low","Poor",32,5,336422.89,374790.76,-5.889708,54.60291,"86",13
"158","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",80,8,330136.36,368165.87,-5.989851,54.545091,"2587",27
"164","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",64,9,330541.47,375583.08,-5.980304,54.611574,"961",26
"166","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",66,7,330515.18,375557.2,-5.980722,54.611349,"974",25
"167","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",70,8,330522.73,375560.41,-5.980604,54.611376,"976",26
"169","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",91,8,330557.77,375562.11,-5.980061,54.611382,"977",25
"170","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",64,8,330554.51,375556.68,-5.980114,54.611334,"978",25
"171","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Grass","Low","Poor",40,7,330770.15,375672.23,-5.976727,54.612316,"399",13
"177","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",55,4,330068.11,368109.56,-5.99093,54.544603,"2565",27
"179","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Grass","Low","Poor",75,13,330109.38,377603.42,-5.986091,54.629823,"12",24
"180","ParkTree","Pine","Pinus sylvestris","Young Mature","Semi-Mature","Grass","Low","Poor",57,4,330908.84,375459.17,-5.974677,54.610367,"180",18
"182","ParkTree","Oak","Quercus robur","Fully Mature","Fully Mature","Grass","Low","Poor",98,10,330953.27,375443.22,-5.973997,54.610212,"185",23
"185","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Grass","Low","Poor",56,6,330539.4,375785.27,-5.980246,54.61339,"434",13
"186","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Woodland","Low","Poor",132,11,329930.22,368161.93,-5.993036,54.545108,"2863",26
"187","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Woodland","Low","Poor",105,10,330810.99,375450.02,-5.976194,54.61031,"1024",25
"188","ParkTree","Maple","Acer pseudoplatanus","Fully Mature","Fully Mature","Woodland","Low","Poor",99,9,330826.94,375415.49,-5.975963,54.609996,"1026",25
"189","ParkTree","Pine","Pinus sylvestris","Young Mature","Semi-Mature","Grass","Low","Poor",39,6,330527.08,375806.5,-5.980427,54.613584,"438",14
"191","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",92,9,330440.12,375866.75,-5.981745,54.614147,"482",24
"194","ParkTree","Oak","Quercus robur","Mature","Mature","Grass","Low","Poor",75,8,330344.22,377582.37,-5.982466,54.629574,"49",17
"195","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Grass","Low","Poor",61,4,330308.77,377664.78,-5.982978,54.630323,"50",14
"197","ParkTree","Larch","Larix decidua","Young Mature","Semi-Mature","Woodland","Low","Poor",52,4,330146.67,368123.83,-5.98971,54.544711,"2616",27
"198","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",49,5,330121.41,368138.25,-5.990094,54.544847,"2612",23
"203","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Grass","Low","Poor",41,4,330850.17,375638.2,-5.975505,54.611989,"222",17
"204","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",80,14,329997.6,367994.54,-5.992069,54.543588,"2764",20
"207","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Woodland","Low","Poor",100,7,330072.61,368103.06,-5.990863,54.544543,"2566",27
"213","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Grass","Low","Poor",66,6,330804.06,375479.03,-5.976289,54.610572,"89",20
"214","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",90,7,330103.94,377679.82,-5.986141,54.63051,"74",26
"215","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",78,6,330128.29,377666.57,-5.98577,54.630385,"79",25
"216","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",70,8,330133.19,377647.99,-5.985703,54.630217,"81",26
"217","ParkTree","Maple","Acer pseudoplatanus","Fully Mature","Fully Mature","Woodland","Low","Poor",115,7,330154.33,377650.56,-5.985375,54.630235,"82",25
"218","ParkTree","Cherry","Prunus 'Amanogawa'","Young","Juvenile/Young","Grass","Low","Poor",30,5,330473.92,375778.52,-5.981262,54.613346,"446",5
"219","ParkTree","Cherry","Prunus (type)","Young","Juvenile/Young","Woodland","Low","Poor",29,5,338874.92,375114.67,-5.851641,54.60515,"130",9
"224","ParkTree","Birch","Betula pendula","Young","Juvenile/Young","Grass","Low","Poor",29,3,338350.98,376103.33,-5.859277,54.614169,"24",13
"235","ParkTree","Pine","Pinus nigra","Young Mature","Semi-Mature","Woodland","Low","Poor",60,4,330411.86,375828.29,-5.9822,54.613809,"831",25
"237","ParkTree","Cypress","Cupressocyparis leylandii","Mature","Mature","Woodland","Low","Poor",75,2,332176.91,369179.76,-5.957887,54.553665,"453",15
"240","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",54,6,334999.99,372016.15,-5.912985,54.578383,"",16
"246","StreetTree","Lime","Tilla x europaea","Mature","Mature","Tarmac","Low","Poor",51,5,332104.37,376474.9,-5.955729,54.619175,"",14
"249","ParkTree","Oak","Quercus robur","Mature","Mature","Grass","Low","Poor",91,6,332118.35,369271.79,-5.95875,54.554506,"526",17
"251","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Woodland","Low","Poor",154,8,332106.64,368736.81,-5.959171,54.549707,"1292",25
"252","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",70,7,332028.13,368729.35,-5.960386,54.54966,"1337",20
"253","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Woodland","Low","Poor",109,7,332323.75,368565.23,-5.955895,54.54811,"1063",25
"254","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Woodland","Low","Poor",107,8,332279.89,368588.45,-5.956562,54.54833,"1066",25
"258","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",84,7,332233.18,368583.46,-5.957285,54.548297,"1093",19
"259","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Woodland","Low","Poor",101,5,331992.18,368798.2,-5.960911,54.550288,"1505",24
"260","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Woodland","Low","Poor",99,5,331986.73,368795.04,-5.960996,54.550261,"1506",24
"261","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Woodland","Low","Poor",101,5,331979.83,368792.17,-5.961104,54.550237,"1507",24
"262","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",81,5,331876.49,368797.53,-5.962698,54.550312,"1653",25
"263","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Woodland","Low","Poor",105,9,331874.58,368779.95,-5.962735,54.550154,"1655",27
"264","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Woodland","Low","Poor",131,10,332399.92,368579.62,-5.954712,54.548219,"1028",25
"267","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",70,6,331784.82,368758.12,-5.964131,54.549982,"1686",25
"269","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Woodland","Low","Poor",67,7,331594.8,368804.82,-5.967045,54.55045,"3229",22
"275","ParkTree","Ash","Fraxinus excelsior","Young","Juvenile/Young","Shrubs","Low","Poor",33,6,330700.42,367708.06,-5.981344,54.540836,"272",19
"278","ParkTree","Cypress","Cupressus macrocarpa","","N/A","Grass","Low","Poor",-172,8,332849.34,379015.84,-5.943054,54.64179,"425",26
"283","ParkTree","Pine","Pinus nigra","Fully Mature","Fully Mature","Bramble/Briars","Low","Poor",101,14,333224.54,379578.07,-5.936991,54.646739,"732",27
"284","ParkTree","Pine","Lodgepole Pine","Fully Mature","Fully Mature","Bare Ground","Low","Poor",113,13,333223.53,379564.95,-5.937012,54.646621,"736",26
"289","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Grass","Low","Poor",77,8,331597.88,375281.25,-5.9641,54.608591,"110",15
"290","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Grass","Low","Poor",64,9,331642.12,375009.29,-5.963537,54.606138,"25",16
"291","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Grass","Normal","Poor",53,9,331627.43,374987.33,-5.963774,54.605945,"20",14
"294","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Shrubs","N/A","Poor",70,9,333839.94,372453.74,-5.930713,54.58262,"",19
"295","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Grass","Low","Poor",61,8,330962.57,370831.37,-5.975908,54.568807,"167",14
"300","ParkTree","Oak","Quercus cerris","Mature","Mature","Grass","Low","Poor",78,7,330749.56,375537.68,-5.977105,54.611113,"133",28
"301","ParkTree","Cypress","Cupressocyparis leylandii","Fully Mature","Fully Mature","Grass","Low","Poor",245,9,332874.24,379041.64,-5.942657,54.642015,"467",27
"304","ParkTree","Pine","Pinus sylvestris","Young Mature","Semi-Mature","Grass","Low","Poor",65,9,330906.78,375452.19,-5.974712,54.610305,"176",18
"305","ParkTree","Ash","Fraxinus excelsior","Fully Mature","Fully Mature","Grass","Low","Poor",118,8,330767.84,375515.28,-5.976833,54.610907,"138",27
"306","ParkTree","Oak","Quercus robur","Mature","Mature","N/A","Low","Poor",77,6,330857.16,375425.14,-5.975491,54.610075,"1007",20
"307","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Grass","Low","Poor",69,5,330849.81,375432.18,-5.975602,54.61014,"1006",24
"308","ParkTree","Pine","Pinus sylvestris","Young Mature","Semi-Mature","Woodland","Low","Poor",67,7,330449.69,375844.54,-5.981607,54.613945,"466",23
"311","ParkTree","Pine","Pinus nigra (type)","Young Mature","Semi-Mature","Grass","Low","Poor",40,14,331594.96,375258.82,-5.964155,54.60839,"453",16
"320","ParkTree","Cherry","Prunus padus","Young","Juvenile/Young","Shrubs","Low","Poor",8,3,332378.62,371409.15,-5.953769,54.573626,"83",5
"321","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Grass","Low","Poor",56,4,330700.94,375559.47,-5.977848,54.611321,"243",20
"322","ParkTree","Ash","Fraxinus excelsior","Young Mature","Semi-Mature","Shrubs","Low","Poor",62,4,330659.6,372742.58,-5.97974,54.586043,"3128",12
"323","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Bare Ground","Low","Poor",52,10,330692.49,367784.19,-5.981432,54.541521,"356",25
"325","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Grass","Low","Poor",104,7,330106.4,377602.13,-5.986138,54.629812,"11",27
"326","ParkTree","Maple","Acer pseudoplatanus","Mature","Mature","Grass","Low","Poor",87,8,330150.38,377607,-5.985455,54.629845,"18",23
"329","ParkTree","Hornbeam","Carpinus betulus","Young","Juvenile/Young","Grass","Low","Poor",30,4,333766.58,376322.75,-5.930085,54.617372,"238",8
"330","ParkTree","Ash","Fraxinus excelsior","Fully Mature","Fully Mature","Grass","Low","Poor",112,7,333489.14,375224.46,-5.934876,54.607586,"1",21
"332","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Bare Ground","Low","Poor",99,10,331296.26,370918.56,-5.970713,54.569504,"1005",20
"335","ParkTree","Pine","Pinus nigra (type)","Young Mature","Semi-Mature","Grass","Low","Poor",52,6,331442.63,375091.36,-5.966586,54.606927,"285",17
"338","ParkTree","Cypress","Cupressus macrocarpa","Fully Mature","Fully Mature","Grass","Low","Poor",123,4,332870.66,379008.44,-5.942727,54.641718,"430",25
"342","ParkTree","Ash","Fraxinus excelsior","Fully Mature","Fully Mature","Grass","Low","Poor",118,7,333459.04,375238.92,-5.935335,54.607723,"41",23
"343","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Woodland","Low","Poor",111,12,330127.5,368171.21,-5.989985,54.545141,"2542",27
"347","ParkTree","Cypress","Cupressocyparis leylandii","Young Mature","Semi-Mature","Grass","Low","Poor",43,4,331546.91,368695.28,-5.967833,54.549479,"3272",14
"348","ParkTree","Oak","Quercus (type)","Young Mature","Semi-Mature","Grass","Low","Poor",52,6,333551.83,372494.64,-5.935147,54.583063,"80",9
"349","ParkTree","Ash","Fraxinus ornus","Young Mature","Semi-Mature","Grass","Low","Poor",55,5,333673.84,372407.59,-5.933301,54.582249,"228",13
"356","ParkTree","Birch","Betula pubescens","Young Mature","Semi-Mature","Grass","Low","Poor",38,3,332916.11,379169,-5.941951,54.643148,"927",17
"358","ParkTree","Lime","Tilla cordata","Fully Mature","Fully Mature","N/A","Normal","Poor",100,5,332979.65,379640.12,-5.940754,54.64736,"2069",23
"362","ParkTree","Ash","Fraxinus excelsior","Young Mature","Semi-Mature","Bare Ground","Low","Poor",54,6,332788.11,379601.09,-5.943736,54.64706,"2479",19
"365","ParkTree","Larch","Larix decidua","Young Mature","Semi-Mature","Bare Ground","Normal","Poor",46,5,332808.84,379567.58,-5.943431,54.646754,"2497",23
"372","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Bare Ground","Low","Poor",94,4,332743.73,378745.66,-5.944811,54.639392,"1365",20
"375","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Grass","Low","Poor",83,10,330904.63,372658.38,-5.97599,54.585224,"3796",23
"377","ParkTree","Pine","Pinus sylvestris","Young Mature","Semi-Mature","Bare Ground","Low","Poor",61,3,332894.84,379276.53,-5.942231,54.644118,"1813",21
"378","ParkTree","Chestnut","Aesculus hippocastanum","Mature","Mature","Bare Ground","Normal","Poor",81,7,333045.41,379535.67,-5.939783,54.646405,"2107",17
"379","ParkTree","Larch","Larix decidua","Young Mature","Semi-Mature","Bare Ground","Low","Poor",52,4,332819.59,379550.06,-5.943272,54.646594,"2376",19
"383","ParkTree","Ash","Fraxinus excelsior","Young","Juvenile/Young","N/A","Normal","Poor",27,4,332529.6,369152,-5.952452,54.553324,"121",11
"389","ParkTree","Maple","Acer pseudoplatanus","Fully Mature","Fully Mature","Bare Ground","Low","Poor",108,4,332794.33,378923.88,-5.943947,54.640979,"1296",23
"399","ParkTree","Chestnut","Aesculus hippocastanum","Mature","Mature","Bare Ground","Normal","Poor",73,4,332558.27,378624.79,-5.947736,54.638356,"2639",22
"400","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Bare Ground","Normal","Poor",63,3,332566.95,378600.05,-5.947613,54.638132,"2642",22
"405","ParkTree","Sweet Chestnut","Castanea sativa","Fully Mature","Fully Mature","Bramble/Briars","Normal","Poor",-148,7,338520.21,376501.32,-5.856471,54.617695,"142",22
"407","ParkTree","Maple","Acer pseudoplatanus","Fully Mature","Fully Mature","Bramble/Briars","Normal","Poor",109,4,338502.95,376511.28,-5.856734,54.617789,"148",21
"415","ParkTree","Ash","Fraxinus oxycarpa 'Raywood'","Young Mature","Semi-Mature","N/A","Low","Poor",42,6,332534.71,369290.45,-5.952311,54.554565,"301",15
"416","ParkTree","Larch","Larix decidua","Mature","Mature","Bare Ground","Low","Poor",72,5,332352.26,378677.9,-5.9509,54.638887,"2604",21
"417","ParkTree","Maple","Acer pseudoplatanus","Fully Mature","Fully Mature","Bare Ground","Normal","Poor",97,5,332479.11,378655.53,-5.948947,54.638653,"2613",22
"418","ParkTree","Chestnut","Aesculus hippocastanum","Mature","Mature","Bare Ground","Normal","Poor",73,7,332866.93,380773.75,-5.941984,54.657567,"3573",20
"422","ParkTree","Pine","Pinus sylvestris","Young Mature","Semi-Mature","Woodland","Low","Poor",50,4,332848.72,378937.8,-5.943099,54.64109,"402",23
"423","ParkTree","Ash","Fraxinus excelsior","Fully Mature","Fully Mature","Shrubs","Low","Poor",100,13,333173.53,379351.74,-5.937883,54.64472,"630",23
"431","ParkTree","Ash","Fraxinus excelsior","Mature","Mature","Bare Ground","Normal","Poor",87,9,332943.01,379643.48,-5.941319,54.6474,"2295",22
"432","ParkTree","Ash","Fraxinus excelsior","Mature","Mature","Bare Ground","Normal","Poor",80,8,332930.72,379635.78,-5.941513,54.647334,"2296",21
"433","ParkTree","Chestnut","Aesculus hippocastanum","Fully Mature","Fully Mature","Bare Ground","Normal","Poor",120,13,332981.12,379696.74,-5.940705,54.647868,"2290",21
"434","ParkTree","Maple","Acer pseudoplatanus","Fully Mature","Fully Mature","Bare Ground","Normal","Poor",124,6,332993.82,379686.66,-5.940513,54.647774,"2289",18
"435","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",92,10,333241.29,369673.12,-5.941225,54.557815,"109",23
"436","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Normal","Poor",60,6,333251.86,369674.89,-5.94106,54.557828,"112",14
"438","ParkTree","Chestnut","Aesculus hippocastanum","Young Mature","Semi-Mature","Bare Ground","Low","Poor",56,9,330735.81,367804.36,-5.980755,54.541691,"396",18
"439","ParkTree","Beech","Fagus sylvatica","Fully Mature","Fully Mature","Shrubs","Low","Poor",101,8,330677.21,367711.99,-5.9817,54.540877,"277",25
"440","ParkTree","Beech","Fagus sylvatica","Young Mature","Semi-Mature","Bare Ground","Low","Poor",51,8,330695.22,367783.49,-5.981391,54.541514,"357",23
"443","ParkTree","Larch","Larix decidua","Young","Juvenile/Young","Woodland","Normal","Poor",31,3,333630.54,370395.43,-5.934884,54.564197,"631",13
"447","ParkTree","Maple","Acer pseudoplatanus","Fully Mature","Fully Mature","Woodland","Normal","Poor",99,8,333258.33,369681.36,-5.940958,54.557885,"113",18
"449","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",62,8,333275.11,369666.77,-5.940705,54.557749,"118",12
"453","ParkTree","Chestnut","Aesculus hippocastanum","Fully Mature","Fully Mature","Bare Ground","Normal","Poor",107,11,332985.07,380715.36,-5.940181,54.657011,"3508",20
"456","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Woodland","Low","Poor",87,8,333359.63,369752.89,-5.93936,54.5585,"175",18
"461","ParkTree","Oak","Quercus robur","Young Mature","Semi-Mature","Woodland","Low","Poor",50,3,333368.35,369862.64,-5.939176,54.559483,"873",12
"462","ParkTree","Pine","Lodgepole Pine","Young Mature","Semi-Mature","Woodland","Normal","Poor",48,3,333359.63,369861.39,-5.939311,54.559474,"890",16
"463","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",53,6,330419.59,367659.74,-5.985701,54.540474,"1563",24
"466","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Woodland","Low","Poor",60,7,330359.7,367550.76,-5.986674,54.539511,"1956",20
"467","ParkTree","Maple","Acer pseudoplatanus","Fully Mature","Fully Mature","Woodland","Low","Poor",155,12,330536.51,367347.51,-5.984034,54.537641,"74",25
"469","ParkTree","Oak","Quercus robur","Fully Mature","Fully Mature","Woodland","Low","Poor",101,7,330456.13,367655.85,-5.985139,54.54043,"1545",25
"476","ParkTree","Maple","Acer pseudoplatanus","Mature","Mature","Grass","Low","Poor",79,8,334552.65,372335.8,-5.919752,54.581372,"397",19
"478","ParkTree","Oak","Quercus robur","Fully Mature","Fully Mature","Grass","Low","Poor",113,5,334682.27,372227.28,-5.917798,54.580363,"430",14
"486","ParkTree","Oak","Quercus robur","Fully Mature","Fully Mature","Grass","Normal","Poor",150,11,333715.66,369694.79,-5.933887,54.557885,"1343",25
"489","ParkTree","Sweet Chestnut","Castanea sativa","Mature","Mature","Grass","Low","Poor",92,8,334685.82,372776.56,-5.917492,54.585293,"629",19
"495","ParkTree","Ash","Fraxinus excelsior","Fully Mature","Fully Mature","Woodland","Normal","Poor",121,8,334312.24,370745.06,-5.924194,54.567156,"48",18
"504","ParkTree","Beech","Fagus sylvatica","Mature","Mature","Bare Ground","Normal","Poor",71,4,332376.11,378686.38,-5.950527,54.638957,"1560",21
"505","ParkTree","Maple","Acer pseudoplatanus","Young Mature","Semi-Mature","Grass","Low","Poor",66,10,334805.55,372897.7,-5.915586,54.586349,"820",19
"506","ParkTree","Chestnut","Aesculus hippocastanum","Fully Mature","Fully Mature","Grass","Low","Poor",160,13,334797.32,372908.43,-5.915708,54.586448,"821",21
"510","ParkTree","Oak","Quercus (type)","Young Mature","Semi-Mature","Shrubs","Low","Poor",65,8,334828.64,372922.57,-5.915217,54.586566,"829",14
"511","ParkTree","Chestnut","Aesculus hippocastanum","Fully Mature","Fully Mature","Bare Ground","Low","Poor",130,12,334742.2,372913.55,-5.916558,54.586508,"862",22
"513","ParkTree","Holly","Ilex aquifolium","Young","Juvenile/Young","Bare Ground","Low","Poor",18,3,334748.17,372637.51,-5.916592,54.584029,"875",4
"514","ParkTree","Holly","Ilex aquifolium","Young Mature","Semi-Mature","Grass","Low","Poor",42,5,334743.93,372648.56,-5.916652,54.584129,"878",11
"522","ParkTree","Maple","Acer platanoides","Young Mature","Semi-Mature","Grass","Normal","Poor",43,7,334310.31,370953.39,-5.924128,54.569026,"770",16
